                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.4151,                 1.0706,                 1.1494,                0.74819,                 0.5514,                0.63947,                0.39729,                 1.5391,                 1.4114,                 1.2106,               0.008911,               0.008911,               0.008911
                     35,                 1.4094,                 1.0257,                 1.1132,                0.73858,                0.58879,                0.66089,                0.40014,                 1.5125,                 1.3281,                 1.2051,               0.008878,               0.008878,               0.008878
                     36,                  1.401,                 1.0378,                 1.1184,                0.80884,                0.60748,                0.71824,                0.44927,                 1.4375,                  1.248,                 1.1615,               0.008845,               0.008845,               0.008845
                     37,                 1.3126,                0.98466,                 1.0774,                0.75911,                0.57944,                0.69594,                0.41937,                 1.4704,                 1.2487,                 1.1637,               0.008812,               0.008812,               0.008812
                     38,                 1.4455,                 1.0186,                  1.108,                0.82929,                0.61682,                0.74147,                0.45583,                 1.4647,                 1.1914,                 1.1837,               0.008779,               0.008779,               0.008779
                     39,                 1.3483,                0.97573,                 1.1251,                0.79059,                0.59985,                0.71479,                 0.4377,                 1.4829,                 1.1868,                 1.1847,               0.008746,               0.008746,               0.008746
                     40,                  1.363,                 1.0228,                 1.1114,                0.81091,                0.58879,                0.71938,                0.42274,                 1.4804,                 1.1907,                 1.2093,               0.008713,               0.008713,               0.008713
                     41,                 1.3533,                  1.006,                 1.1332,                0.74904,                0.65421,                 0.7321,                0.43703,                 1.4823,                 1.1712,                 1.1915,                0.00868,                0.00868,                0.00868
                     42,                 1.2473,                0.89671,                 1.0931,                0.77331,                0.63763,                0.71968,                0.42849,                 1.4759,                 1.1596,                 1.1982,               0.008647,               0.008647,               0.008647
                     43,                 1.3046,                 0.9675,                 1.1084,                   0.74,                0.62617,                0.71051,                0.41727,                  1.588,                 1.1948,                  1.246,               0.008614,               0.008614,               0.008614
                     44,                 1.3949,                0.96054,                 1.0949,                0.78479,                0.57009,                0.71477,                0.43455,                 1.4982,                 1.1474,                 1.2066,               0.008581,               0.008581,               0.008581
                     45,                 1.3467,                0.92957,                 1.0883,                0.84403,                0.60693,                0.75547,                 0.4404,                 1.5252,                 1.1339,                 1.2236,               0.008548,               0.008548,               0.008548
                     46,                 1.2541,                0.93297,                 1.0766,                0.87029,                0.56439,                0.75975,                0.44596,                 1.5345,                 1.0993,                 1.2374,               0.008515,               0.008515,               0.008515
                     47,                 1.2771,                0.91346,                 1.0946,                 0.8354,                0.66409,                0.74832,                0.45035,                 1.4667,                 1.0776,                 1.2114,               0.008482,               0.008482,               0.008482
                     48,                 1.3303,                0.95093,                 1.0861,                0.80858,                0.66355,                0.73203,                0.43691,                 1.5633,                 1.1866,                 1.2407,               0.008449,               0.008449,               0.008449
                     49,                 1.2964,                0.91678,                 1.0859,                0.79065,                0.67065,                0.76118,                 0.4627,                  1.472,                 1.0955,                 1.1969,               0.008416,               0.008416,               0.008416
                     50,                 1.2986,                0.90313,                 1.0721,                0.78653,                0.65421,                0.74236,                0.42728,                 1.5674,                  1.176,                 1.2443,               0.008383,               0.008383,               0.008383
                     51,                 1.3405,                 0.9664,                  1.108,                0.78495,                0.62617,                0.71484,                0.41868,                 1.5001,                 1.1394,                 1.1976,                0.00835,                0.00835,                0.00835
                     52,                 1.2552,                0.85478,                 1.0692,                0.77557,                0.63551,                0.72797,                0.43772,                 1.5411,                 1.0994,                  1.212,               0.008317,               0.008317,               0.008317
                     53,                 1.3103,                0.90066,                 1.0962,                0.75657,                0.62617,                0.73536,                0.45221,                 1.5122,                 1.1161,                 1.1762,               0.008284,               0.008284,               0.008284
                     54,                 1.2538,                0.88426,                 1.0694,                0.82916,                0.64486,                0.76812,                0.45204,                 1.5063,                 1.0644,                 1.1904,               0.008251,               0.008251,               0.008251
                     55,                 1.3554,                0.99988,                 1.1234,                0.84051,                0.60748,                0.75551,                0.46355,                 1.4851,                 1.0514,                 1.1705,               0.008218,               0.008218,               0.008218
                     56,                 1.3051,                0.91532,                 1.0617,                0.68658,                0.69609,                0.73766,                0.43935,                 1.4929,                 1.1169,                   1.17,               0.008185,               0.008185,               0.008185
                     57,                 1.4597,                0.92938,                 1.1125,                0.70765,                0.64486,                 0.7069,                0.39234,                 1.5964,                  1.242,                 1.2399,               0.008152,               0.008152,               0.008152
                     58,                 1.2974,                0.87663,                 1.0756,                0.77241,                0.63439,                0.72498,                0.43474,                 1.4771,                 1.1258,                 1.1611,               0.008119,               0.008119,               0.008119
                     59,                 1.2467,                0.89312,                 1.0793,                0.79309,                0.59813,                0.69417,                0.41301,                 1.5047,                 1.1311,                 1.1738,               0.008086,               0.008086,               0.008086
                     60,                 1.3264,                0.92786,                 1.0813,                 0.6347,                0.66579,                0.64148,                0.37361,                 1.5321,                 1.2503,                 1.2014,               0.008053,               0.008053,               0.008053
                     61,                  1.287,                0.87527,                 1.0675,                 0.6496,                0.63551,                0.66202,                0.38691,                 1.4892,                 1.1952,                 1.1726,                0.00802,                0.00802,                0.00802
                     62,                 1.3374,                0.91828,                   1.04,                0.60556,                0.63551,                0.61231,                0.33796,                 1.5832,                 1.3017,                 1.2558,               0.007987,               0.007987,               0.007987
                     63,                 1.2586,                0.86873,                 1.0537,                0.70064,                0.62617,                   0.67,                0.39648,                 1.5403,                 1.2581,                 1.2046,               0.007954,               0.007954,               0.007954
                     64,                 1.2474,                0.86862,                 1.0656,                0.76873,                0.58879,                0.65525,                0.39953,                 1.5735,                 1.3992,                 1.2188,               0.007921,               0.007921,               0.007921
                     65,                 1.2165,                0.85959,                 1.0431,                0.82393,                0.61232,                0.73237,                0.43606,                  1.527,                 1.2241,                 1.1763,               0.007888,               0.007888,               0.007888
                     66,                 1.2324,                0.90391,                 1.0354,                0.73238,                0.66355,                 0.7159,                0.38856,                 1.6322,                 1.1692,                 1.2368,               0.007855,               0.007855,               0.007855
                     67,                 1.1743,                 0.8428,                 1.0411,                0.81375,                0.65335,                 0.7413,                0.44231,                 1.5544,                 1.0865,                  1.204,               0.007822,               0.007822,               0.007822
                     68,                 1.2369,                0.83229,                 1.0345,                 0.8032,                0.68658,                0.75143,                0.45651,                 1.4907,                 1.0525,                 1.1706,               0.007789,               0.007789,               0.007789
                     69,                 1.1705,                0.80455,                 1.0567,                0.82153,                0.60748,                0.70381,                0.42173,                 1.5086,                 1.1665,                 1.1965,               0.007756,               0.007756,               0.007756
                     70,                  1.278,                0.85031,                 1.0366,                0.73697,                0.68084,                 0.7322,                0.43704,                 1.5017,                 1.1049,                 1.1998,               0.007723,               0.007723,               0.007723
                     71,                  1.192,                0.82912,                 1.0662,                0.74138,                0.66981,                0.72668,                0.44448,                 1.5032,                 1.1747,                 1.1983,                0.00769,                0.00769,                0.00769
                     72,                 1.1622,                0.79252,                  1.038,                0.83731,                0.57723,                0.69833,                0.42408,                 1.5321,                 1.1875,                 1.2354,               0.007657,               0.007657,               0.007657
                     73,                 1.2654,                0.83035,                 1.0468,                0.75345,                0.62617,                0.71847,                0.42237,                   1.53,                 1.2326,                 1.2109,               0.007624,               0.007624,               0.007624
                     74,                 1.1934,                0.80402,                 1.0184,                0.77942,                0.64486,                0.72919,                0.43596,                 1.5158,                 1.1764,                 1.2212,               0.007591,               0.007591,               0.007591
                     75,                 1.1818,                0.80646,                 1.0139,                0.72833,                0.65147,                0.70834,                0.40001,                 1.5436,                 1.1893,                 1.2329,               0.007558,               0.007558,               0.007558
                     76,                 1.2163,                0.81396,                 1.0367,                0.72027,                0.62567,                0.69362,                0.42813,                  1.496,                 1.1709,                 1.2017,               0.007525,               0.007525,               0.007525
