                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                0.00495,                0.99935,                      1,                0.90555,               0.003169,               0.003169,               0.003169
                     72,                0.00128,                0.99935,                      1,                0.90555,                0.00307,                0.00307,                0.00307
                     73,                 0.0002,                0.99935,                      1,                0.90555,               0.002971,               0.002971,               0.002971
                     74,                0.00024,                0.99935,                      1,                0.90554,               0.002872,               0.002872,               0.002872
                     75,                0.00024,                0.99935,                      1,                0.90554,               0.002773,               0.002773,               0.002773
                     76,                0.00049,                0.99935,                      1,                0.90554,               0.002674,               0.002674,               0.002674
                     77,                  4e-05,                0.99935,                      1,                0.90554,               0.002575,               0.002575,               0.002575
                     78,                 0.0001,                0.99935,                      1,                0.90553,               0.002476,               0.002476,               0.002476
                     79,                0.00296,                0.99935,                      1,                0.90554,               0.002377,               0.002377,               0.002377
                     80,                  2e-05,                0.99935,                      1,                0.90553,               0.002278,               0.002278,               0.002278
                     81,                  2e-05,                0.99935,                      1,                0.90552,               0.002179,               0.002179,               0.002179
                     82,                  2e-05,                0.99935,                      1,                0.90552,                0.00208,                0.00208,                0.00208
                     83,                  2e-05,                0.99935,                      1,                0.90552,               0.001981,               0.001981,               0.001981
                     84,                  1e-05,                0.99935,                      1,                0.90551,               0.001882,               0.001882,               0.001882
                     85,                  1e-05,                0.99935,                      1,                0.90551,               0.001783,               0.001783,               0.001783
                     86,                  1e-05,                0.99935,                      1,                0.90551,               0.001684,               0.001684,               0.001684
                     87,                  4e-05,                0.99935,                      1,                 0.9055,               0.001585,               0.001585,               0.001585
                     88,                  2e-05,                0.99935,                      1,                 0.9055,               0.001486,               0.001486,               0.001486
                     89,                  1e-05,                0.99935,                      1,                0.90549,               0.001387,               0.001387,               0.001387
                     90,                0.00031,                0.99935,                      1,                0.90549,               0.001288,               0.001288,               0.001288
                     91,                  7e-05,                0.99935,                      1,                0.90549,               0.001189,               0.001189,               0.001189
                     92,                  2e-05,                0.99935,                      1,                0.90548,                0.00109,                0.00109,                0.00109
                     93,                  1e-05,                0.99935,                      1,                0.90548,               0.000991,               0.000991,               0.000991
                     94,                  4e-05,                0.99935,                      1,                0.90548,               0.000892,               0.000892,               0.000892
                     95,                0.00033,                0.99935,                      1,                0.90547,               0.000793,               0.000793,               0.000793
                     96,                  4e-05,                0.99935,                      1,                0.90547,               0.000694,               0.000694,               0.000694
                     97,                  1e-05,                0.99935,                      1,                0.90547,               0.000595,               0.000595,               0.000595
                     98,                  1e-05,                0.99935,                      1,                0.90546,               0.000496,               0.000496,               0.000496
                     99,                  1e-05,                0.99935,                      1,                0.90546,               0.000397,               0.000397,               0.000397
