                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.1578,                 1.3011,                 1.2492,                   0.04,                0.88889,                  0.632,                 0.4263,                 1.1073,                 2.5341,                 1.0917,               0.069019,              0.0030185,              0.0030185
                     35,                 1.0988,                 1.1128,                 1.1356,                   0.04,                0.88889,                  0.632,                 0.4263,                 1.1073,                 2.5341,                 1.0917,               0.068096,              0.0030958,              0.0030958
                     36,                 1.1436,                 1.1812,                 1.1316,                0.07609,                0.74074,                0.49851,                0.32249,                 1.2451,                 2.5773,                 1.1545,               0.067172,              0.0031723,              0.0031723
                     37,                 1.1051,                 1.1301,                 1.1754,                0.07609,                0.74074,                0.49851,                0.32249,                 1.2451,                 2.5773,                 1.1545,               0.066248,              0.0032482,              0.0032482
                     38,                 1.2905,                  1.399,                 1.3141,                0.03667,                0.81481,                0.49696,                0.33307,                 1.1792,                 2.6158,                 1.1164,               0.065323,              0.0033235,              0.0033235
                     39,                 1.0966,                 1.1135,                 1.1114,                0.03667,                0.81481,                0.49696,                0.33307,                 1.1792,                 2.6158,                 1.1164,               0.064398,              0.0033981,              0.0033981
                     40,                0.99565,                 1.1983,                 1.1387,                0.75018,                0.33369,                0.47919,                0.30351,                 1.2615,                 2.6238,                 1.1309,               0.063472,               0.003472,               0.003472
                     41,                 1.1657,                 1.1131,                 1.1749,                0.75018,                0.33369,                0.47919,                0.30351,                 1.2615,                 2.6238,                 1.1309,               0.062545,              0.0035453,              0.0035453
                     42,                 1.0851,                 1.1267,                 1.1915,                      1,                 0.0632,                0.53875,                0.39642,                 1.2121,                 2.5569,                 1.1148,               0.061618,              0.0036179,              0.0036179
                     43,                 1.1133,                 1.1386,                 1.1264,                      1,                 0.0632,                0.53875,                0.39642,                 1.2121,                 2.5569,                 1.1148,                0.06069,              0.0036898,              0.0036898
                     44,                 1.1718,                 1.1247,                 1.1288,                      1,                0.06677,                0.69362,                0.45008,                 1.1675,                 2.4895,                  1.068,               0.059761,              0.0037611,              0.0037611
                     45,                 1.1342,                 1.1828,                 1.1452,                      1,                0.06677,                0.69362,                0.45008,                 1.1675,                 2.4895,                  1.068,               0.058832,              0.0038317,              0.0038317
                     46,                 1.0774,                 1.2029,                 1.2083,                      1,                0.06485,                0.62137,                0.37799,                 1.2673,                 2.5693,                 1.1139,               0.057902,              0.0039017,              0.0039017
                     47,                 1.0546,                 1.0406,                 1.1054,                      1,                0.06485,                0.62137,                0.37799,                 1.2673,                 2.5693,                 1.1139,               0.056971,               0.003971,               0.003971
                     48,                 1.1074,                 1.1031,                 1.1322,                      1,                0.07166,                0.71019,                0.45918,                 1.1083,                 2.4914,                 1.0281,                0.05604,              0.0040397,              0.0040397
                     49,                0.96583,                 1.1588,                 1.0517,                      1,                0.07166,                0.71019,                0.45918,                 1.1083,                 2.4914,                 1.0281,               0.055108,              0.0041077,              0.0041077
                     50,                  1.091,                 1.2253,                 1.1838,                      1,                0.09473,                0.72677,                0.48567,                 1.1245,                 2.5084,                 1.0243,               0.054175,               0.004175,               0.004175
                     51,                 1.0294,                 1.0642,                 1.0937,                      1,                0.09473,                0.72677,                0.48567,                 1.1245,                 2.5084,                 1.0243,               0.053242,              0.0042417,              0.0042417
                     52,                 1.1179,                 1.1392,                 1.1198,                      1,                0.09473,                0.72677,                0.48567,                 1.1245,                 2.5084,                 1.0243,               0.052308,              0.0043077,              0.0043077
                     53,                  1.108,                 1.1015,                 1.0639,                      1,                 0.1806,                0.76739,                0.50214,                 1.1162,                 2.4329,                 1.0165,               0.051373,               0.004373,               0.004373
                     54,                 1.1185,                 1.1264,                 1.1006,                      1,                 0.1806,                0.76739,                0.50214,                 1.1162,                 2.4329,                 1.0165,               0.050438,              0.0044377,              0.0044377
                     55,                 1.2232,                  1.194,                 1.1711,                      1,                 0.1806,                0.76739,                0.50214,                 1.1162,                 2.4329,                 1.0165,               0.049502,              0.0045017,              0.0045017
                     56,                 1.0848,                 1.0335,                 1.0545,                      1,                0.33832,                0.80848,                 0.5037,                 1.2388,                 2.3795,                 1.0558,               0.048565,              0.0045651,              0.0045651
                     57,                 1.1179,                 1.0079,                 1.0772,                      1,                0.33832,                0.80848,                 0.5037,                 1.2388,                 2.3795,                 1.0558,               0.047628,              0.0046278,              0.0046278
                     58,                 1.0519,                0.97754,                 1.0604,                      1,                0.33832,                0.80848,                 0.5037,                 1.2388,                 2.3795,                 1.0558,                0.04669,              0.0046899,              0.0046899
